company,metric,fiscal_quarter,old_value_codex,new_value_factset,source
CRK,Adjusted EBITDAX,Q1 2026,251.265,251.3,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q2 2024,-104.017,-109.5855,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q3 2024,-44.125,-41.674,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q4 2024,-32.338,-51,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q1 2025,-0.022,-22.004,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q2 2025,-78.99,-68.498,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q3 2025,-73.672,-92.35,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q4 2025,-66.804,-67,FactSet E&P Company Model.xlsx (Actual)
CRK,Free Cash Flow,Q1 2026,-206.126,-151.4,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q1 2024,331.035,256.224,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q2 2024,242.861,221.019,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q3 2024,224.192,184.392,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q4 2024,299.601,240.433,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q1 2025,308.212,275.498,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q2 2025,331.557,268.202,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q3 2025,345.005,284.051,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q4 2025,366.684,279.2065,FactSet E&P Company Model.xlsx (Actual)
CRK,Capital Expenditures,Q1 2026,417.102,357.456,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q1 2024,2722.46,2696,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q2 2024,2894.61,2837,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q3 2024,2990.108,2935,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q4 2024,2997.081,2974,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q1 2025,3066.005,3017,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q2 2025,3038.021,2992,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q3 2025,3149.665,3107,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q4 2025,2824.95,2805,FactSet E&P Company Model.xlsx (Actual)
CRK,Net Debt,Q1 2026,2971.095,2933,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q1 2024,5486.527472527472,5487,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q2 2024,5209.615384615385,5209.615,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q3 2024,5948.097826086957,5948,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q4 2024,6150.728260869565,6150.7,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q1 2025,5959.311111111111,5959.15,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q2 2025,5872.978021978022,5873,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q3 2025,6474.369565217391,6474.179,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q4 2025,6219.902173913043,6219.95,FactSet E&P Company Model.xlsx (Actual)
EQT,Natural Gas Production,Q1 2026,6459.188888888889,6459.094,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q1 2024,58.79120879120879,58.8,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q2 2024,57.85714285714285,57.9,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q4 2024,65.83514492753261,65.8,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q1 2025,59.33333333333334,59.3,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q2 2025,58.43956043956044,58.2,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q3 2025,64.8695652173913,64.9,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q4 2025,60.24637681159783,60,FactSet E&P Company Model.xlsx (Actual)
EQT,NGL Production,Q1 2026,61.58888888888889,62,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q2 2024,3.384615384615385,3.3923078,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q3 2024,3.75,3.8,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q4 2024,5.389492753619565,5.395,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q1 2025,4.388888888888889,4.39,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q2 2025,3.43956043956044,3.4,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q3 2025,5.336956521739131,5,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q4 2025,6.353260869565218,6.18,FactSet E&P Company Model.xlsx (Actual)
EQT,Oil / Condensate Production,Q1 2026,5.755555555555556,6,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q1 2024,5868.681318681319,5869.2065922,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q2 2024,5577.054945054945,5577.368846799999,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q3 2024,6319.717391304348,6319.973912,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q4 2024,6578.076086956522,6577.87,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q1 2025,6341.677777777778,6341.29,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q2 2025,6244.252747252747,6242.599999999999,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q3 2025,6895.597826086957,6893.579,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q4 2025,6619.5,6617.03,FactSet E&P Company Model.xlsx (Actual)
EQT,Total Production,Q1 2026,6863.322222222222,6867.094,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q1 2024,2.255,2.39,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q2 2024,1.53,2.33,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q3 2024,1.71,2.27,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q4 2024,2.77,2.97,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q1 2025,3.82,3.83,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q2 2025,2.88,3.63,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q3 2025,2.54,3.24,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q4 2025,3.71,3.76,FactSet E&P Company Model.xlsx (Actual)
EQT,Realized Natural Gas Price,Q1 2026,5.6,5.22,FactSet E&P Company Model.xlsx (Actual)
EQT,Revenue,Q1 2025,1739.85,2152.741,FactSet E&P Company Model.xlsx (Actual)
EQT,Revenue,Q2 2025,2557.719,1599.135,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q1 2024,1011.707,1012,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q2 2024,464.147,464,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q3 2024,831.943,824,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q4 2024,1411.871,1400,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q1 2025,1780.661,1713,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q2 2025,1158.465,1035,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q3 2025,1327.734,1200,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q4 2025,1637.381,1509,FactSet E&P Company Model.xlsx (Actual)
EQT,Adjusted EBITDAX,Q1 2026,2679.045,2547,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q2 2024,171.095,-171,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q3 2024,-120.799,-47,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q4 2024,587.729,580.223,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q1 2025,1151.378,1151,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q2 2025,340.218,240,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q3 2025,600.888,601,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q4 2025,856.962,743.866,FactSet E&P Company Model.xlsx (Actual)
EQT,Free Cash Flow,Q1 2026,1945.06,1832,FactSet E&P Company Model.xlsx (Actual)
EQT,Capital Expenditures,Q3 2024,557.889,558,FactSet E&P Company Model.xlsx (Actual)
EQT,Capital Expenditures,Q1 2025,497.444,497,FactSet E&P Company Model.xlsx (Actual)
EQT,Capital Expenditures,Q2 2025,553.559,554,FactSet E&P Company Model.xlsx (Actual)
EQT,Capital Expenditures,Q3 2025,617.893,618,FactSet E&P Company Model.xlsx (Actual)
EQT,Capital Expenditures,Q1 2026,607.836,608,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q1 2024,4896.304,5717,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q2 2024,4958.307,5410.139,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q3 2024,13763.897,13734.5,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q4 2024,9166.423,9149.6,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q1 2025,8161.398,8573.5,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q2 2025,7810.6,8092.409,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q3 2025,8033.675,8008,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q4 2025,7744.691,7745,FactSet E&P Company Model.xlsx (Actual)
EQT,Net Debt,Q1 2026,5709.889,5665.843,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Natural Gas Price,Q1 2024,2.03,2.85,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Natural Gas Price,Q2 2024,1.51,2.51,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Natural Gas Price,Q3 2024,1.67,2.51,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Natural Gas Price,Q1 2025,3.58,3.51,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Natural Gas Price,Q2 2025,2.93,2.98,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Natural Gas Price,Q3 2025,2.58,2.81,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Natural Gas Price,Q1 2026,4.92,4.28,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized NGL Price,Q1 2024,,0,"FactSet E&P Company Model.xlsx (Actual, gap-fill)"
EXE,Realized NGL Price,Q2 2024,,0,"FactSet E&P Company Model.xlsx (Actual, gap-fill)"
EXE,Realized NGL Price,Q3 2024,,24.7,"FactSet E&P Company Model.xlsx (Actual, gap-fill)"
EXE,Realized NGL Price,Q1 2025,30.54,29.35,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized NGL Price,Q2 2025,23.19,23.08,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized NGL Price,Q3 2025,21.4,21.62,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized NGL Price,Q4 2025,23.41,23.77,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Oil / Condensate Price,Q1 2024,,0,"FactSet E&P Company Model.xlsx (Actual, gap-fill)"
EXE,Realized Oil / Condensate Price,Q2 2024,,80.67,"FactSet E&P Company Model.xlsx (Actual, gap-fill)"
EXE,Realized Oil / Condensate Price,Q3 2024,,75.09,"FactSet E&P Company Model.xlsx (Actual, gap-fill)"
EXE,Realized Oil / Condensate Price,Q1 2025,63.4,63.76,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Oil / Condensate Price,Q2 2025,54.47,55.89,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Oil / Condensate Price,Q3 2025,53.5,54.66,FactSet E&P Company Model.xlsx (Actual)
EXE,Realized Oil / Condensate Price,Q1 2026,64.37,64.77,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q1 2024,131.0,112,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q2 2024,-93.0,-119,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q3 2024,124.0,98,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q1 2025,533.0,577,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q2 2025,665.0,692,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q3 2025,426.0,423,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q4 2025,215.0,218,FactSet E&P Company Model.xlsx (Actual)
EXE,Free Cash Flow,Q1 2026,1695.0,1704,FactSet E&P Company Model.xlsx (Actual)
EXE,Capital Expenditures,Q1 2024,354.0,421,FactSet E&P Company Model.xlsx (Actual)
EXE,Capital Expenditures,Q2 2024,293.0,302,FactSet E&P Company Model.xlsx (Actual)
EXE,Capital Expenditures,Q3 2024,289.0,298,FactSet E&P Company Model.xlsx (Actual)
EXE,Capital Expenditures,Q4 2024,593.0,536,FactSet E&P Company Model.xlsx (Actual)
EXE,Capital Expenditures,Q3 2025,735.0,775,FactSet E&P Company Model.xlsx (Actual)
EXE,Capital Expenditures,Q4 2025,728.0,741,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q1 2024,771.0,#N/A,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q2 2024,931.0,1107.9879,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q3 2024,906.0,973,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q4 2024,5369.0,4935,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q1 2025,4901.0,4858.5,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q2 2025,4404.0,4329,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q3 2025,4412.0,4365.5,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q4 2025,4409.0,4329,FactSet E&P Company Model.xlsx (Actual)
EXE,Net Debt,Q1 2026,2805.0,2754,FactSet E&P Company Model.xlsx (Actual)
GPOR,Natural Gas Production,Q1 2024,974.0,973.564,FactSet E&P Company Model.xlsx (Actual)
GPOR,Natural Gas Production,Q2 2024,972.0,972.487,FactSet E&P Company Model.xlsx (Actual)
GPOR,Natural Gas Production,Q3 2024,967.0,966.522,FactSet E&P Company Model.xlsx (Actual)
GPOR,Natural Gas Production,Q1 2025,838.0,837.816,FactSet E&P Company Model.xlsx (Actual)
GPOR,Natural Gas Production,Q2 2025,891.0,891.359,FactSet E&P Company Model.xlsx (Actual)
GPOR,Natural Gas Production,Q3 2025,988.0,987.746,FactSet E&P Company Model.xlsx (Actual)
GPOR,Natural Gas Production,Q1 2026,906.0,905.77,FactSet E&P Company Model.xlsx (Actual)
GPOR,NGL Production,Q1 2024,10.03296703296703,10.031,FactSet E&P Company Model.xlsx (Actual)
GPOR,NGL Production,Q2 2024,10.1978021978022,10.195,FactSet E&P Company Model.xlsx (Actual)
GPOR,NGL Production,Q3 2024,10.48913043478261,10.489,FactSet E&P Company Model.xlsx (Actual)
GPOR,NGL Production,Q1 2025,9.966666666666667,9.962,FactSet E&P Company Model.xlsx (Actual)
GPOR,NGL Production,Q2 2025,11.31868131868132,11.313,FactSet E&P Company Model.xlsx (Actual)
GPOR,NGL Production,Q3 2025,15.09782608695652,15.097,FactSet E&P Company Model.xlsx (Actual)
GPOR,NGL Production,Q1 2026,11.43333333333333,11.432,FactSet E&P Company Model.xlsx (Actual)
GPOR,Oil / Condensate Production,Q1 2024,3.32967032967033,3.329,FactSet E&P Company Model.xlsx (Actual)
GPOR,Oil / Condensate Production,Q2 2024,2.747252747252747,2.747,FactSet E&P Company Model.xlsx (Actual)
GPOR,Oil / Condensate Production,Q3 2024,4.619565217391305,4.618,FactSet E&P Company Model.xlsx (Actual)
GPOR,Oil / Condensate Production,Q1 2025,5.277777777777778,5.282,FactSet E&P Company Model.xlsx (Actual)
GPOR,Oil / Condensate Production,Q2 2025,7.846153846153846,7.843,FactSet E&P Company Model.xlsx (Actual)
GPOR,Oil / Condensate Production,Q3 2025,6.891304347826087,6.892,FactSet E&P Company Model.xlsx (Actual)
GPOR,Oil / Condensate Production,Q1 2026,3.733333333333333,3.738,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q1 2024,1054.0,1053.724,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q2 2024,1050.0,1050.139,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q3 2024,1057.0,1057.1640000000002,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q4 2024,1055.472,1055.4730000000002,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q1 2025,929.0,929.2800000000001,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q2 2025,1006.0,1006.2950000000001,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q3 2025,1120.0,1119.68,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q4 2025,1097.422,1097.4209999999998,FactSet E&P Company Model.xlsx (Actual)
GPOR,Total Production,Q1 2026,997.0,996.79,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Natural Gas Price,Q1 2024,2.13,2.88,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Natural Gas Price,Q2 2024,1.63,2.66,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Natural Gas Price,Q3 2024,1.8,2.75,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Natural Gas Price,Q1 2025,3.73,3.61,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Natural Gas Price,Q2 2025,2.97,3.19,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Natural Gas Price,Q3 2025,2.61,2.95,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Natural Gas Price,Q1 2026,4.9,4.22,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized NGL Price,Q1 2024,30.79,29.54,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized NGL Price,Q2 2024,28.18,27.93,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized NGL Price,Q3 2024,27.58,27.42,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized NGL Price,Q1 2025,34.37,32.84,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized NGL Price,Q2 2025,27.91,27.65,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized NGL Price,Q3 2025,27.89,28.1,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized NGL Price,Q1 2026,30.59,31.34,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Oil / Condensate Price,Q1 2024,71.64,71.68,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Oil / Condensate Price,Q2 2024,76.51,75.43,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Oil / Condensate Price,Q3 2024,69.35,69.57,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Oil / Condensate Price,Q1 2025,65.76,66.82,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Oil / Condensate Price,Q2 2025,58.2,61.58,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Oil / Condensate Price,Q3 2025,58.99,62.62,FactSet E&P Company Model.xlsx (Actual)
GPOR,Realized Oil / Condensate Price,Q1 2026,66.4,61.6,FactSet E&P Company Model.xlsx (Actual)
GPOR,Revenue,Q2 2024,181.117,181.0585,FactSet E&P Company Model.xlsx (Actual)
GPOR,Revenue,Q2 2025,447.616,448,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q1 2024,185.7,186,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q2 2024,164.4,164,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q3 2024,178.1,178,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q4 2024,202.8,203,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q1 2025,218.3,218,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q2 2025,212.3,212,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q3 2025,213.1,213,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q4 2025,234.8,235.4155,FactSet E&P Company Model.xlsx (Actual)
GPOR,Adjusted EBITDAX,Q1 2026,264.2,264,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q1 2024,38.8,53,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q2 2024,20.2,26,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q3 2024,72.6,58,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q4 2024,125.2,125.21,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q2 2025,64.6,73.85,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q3 2025,103.4,105,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q4 2025,120.2,129.25,FactSet E&P Company Model.xlsx (Actual)
GPOR,Free Cash Flow,Q1 2026,118.9,124.2,FactSet E&P Company Model.xlsx (Actual)
GPOR,Capital Expenditures,Q1 2024,124.4,126.238,FactSet E&P Company Model.xlsx (Actual)
GPOR,Capital Expenditures,Q4 2024,56.3,56.941,FactSet E&P Company Model.xlsx (Actual)
GPOR,Capital Expenditures,Q4 2025,110.5,94.404,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q1 2024,628.791,628,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q2 2024,678.767,678,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q3 2024,702.482,695,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q4 2024,712.229,701,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q1 2025,705.36,695,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q2 2025,701.206,691,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q3 2025,697.633,688,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q4 2025,795.187,651.5,FactSet E&P Company Model.xlsx (Actual)
GPOR,Net Debt,Q1 2026,829.079,821,FactSet E&P Company Model.xlsx (Actual)
